time,ema9,ema21,ema50,sma200,atr,rsi,roc,macd_line,macd_signal,macd_hist,adx,plus_di,minus_di,chop,vwap,bias_score,execution_score,smart_money_score,regime_score,score_penalty,vix_pine,qqq_close_pine,spy_close_pine,qqq_ema21_pine,spy_ema21_pine,bsl_level,ssl_level,bull_ob_high,bull_ob_low,bear_ob_high,bear_ob_low
2025-09-29 13:30:00+00:00,249.9618264587265,242.6952896227249,232.1086958977051,221.8825263750002,6.275262162218198,72.88750434350465,7.791228422543736,7.422268743254648,6.174497989749769,1.247770753504879,36.28652845841299,26.56807457609032,7.955930732470485,42.70909136114683,254.08666666666664,100,100,0,12,13,15.29,598.73,663.68,588.829512071937,656.4811582510927,257.6,253.01,231.18435646699143,226.32023402730636,,
2025-09-30 13:30:00+00:00,250.8951611669812,243.7801269297499,232.9918254703441,221.92040637500017,6.027672007774041,73.21202734940817,11.028457123546756,7.416942707350813,6.422986933269978,0.9939557740808356,37.649427115185645,26.77272926217203,7.691102010646412,40.195495953196406,254.5525,100,100,0,12,13,16.12,600.37,666.18,589.8786473381246,657.3628711373569,257.6,253.01,231.18435646699143,226.32023402730636,,
2025-10-01 13:30:00+00:00,251.92662893358496,244.8957972088636,233.89616564797768,221.96128125000016,5.905866525679285,74.45104617420562,12.057373865569668,7.441841765177145,6.626757899651411,0.8150838655257342,39.22133199112344,28.84545863142746,7.289032273008594,40.71501654406061,256.43670158051754,79,53,-8,0,26,16.28,603.25,668.45,591.0942248528405,658.3707919430518,257.6,253.01,231.18435646699143,226.32023402730636,,
2025-10-02 13:30:00+00:00,252.843053146868,245.951520189876,234.7829336617825,222.00723750000012,5.771876059559335,74.85238614300872,10.704883364623113,7.412938271848162,6.783993974090761,0.6289442977574016,40.55188005368849,27.406867223648582,7.318555653404142,42.83159312101111,256.27958333333333,100,100,-8,12,7,16.29,605.73,669.22,592.4247498662187,659.3570835845926,257.6,254.15,231.18435646699143,226.32023402730636,,
2025-10-03 13:30:00+00:00,253.5681925174944,246.90763199079632,235.63335783190865,222.05023725000015,5.737456341019383,74.7415342543292,8.338085582731374,7.302624272552265,6.8877200337830615,0.4149042387692034,41.90508447904404,26.92155599740758,6.836570542813313,45.37561433166899,256.5529166666667,67,41,-8,0,26,16.63,603.18,669.21,593.4024998783806,660.2528032587205,257.6,253.95,231.18435646699143,226.32023402730636,,
2025-10-06 13:30:00+00:00,254.29455401399548,247.84330180981485,236.47910850516715,222.08866225000017,5.6147808880894265,75.45710697070834,7.968728108862875,7.191308469428094,6.948437720912068,0.2428707485160259,43.16163144544562,25.54477341908377,6.4869447180751925,47.20129270574723,257.1066666666666,100,100,-8,12,7,16.65,607.71,671.61,594.7031817076187,661.285275689746,257.6,253.95,231.18435646699143,226.32023402730636,,
2025-10-07 13:30:00+00:00,254.7413932111964,248.63288800892255,237.2653689559449,222.11234350000015,5.354439396083037,73.40143202818749,7.357776566214703,6.9685959915453,6.9524693750387145,0.0161266165065852,44.32842505710423,24.873458594224772,6.31646827321343,47.13187836041692,256.4529166666666,100,96,0,12,16,16.37,604.51,669.12,595.5947106432897,661.9975233543145,257.6,253.95,231.18435646699143,226.32023402730636,,
2025-10-08 13:30:00+00:00,255.25361456895712,249.421034553566,238.0511388008098,222.14606850000015,5.144122296362817,74.27153221482877,7.691744271214828,6.776415605836064,6.917258621198185,-0.1408430153621207,45.55380251682412,25.596266404061385,6.105094042011352,48.8246460486599,257.31083333333333,72,46,-8,0,26,17.24,611.44,673.11,597.0351914938997,663.0077485039222,257.6,253.95,231.18435646699143,226.32023402730636,,
2025-10-09 13:30:00+00:00,255.3521416551657,249.99605413960543,238.74506473018985,222.17931862500012,5.123827846622617,69.35718486610261,5.111753002048018,6.424477518960316,6.818702400750611,-0.3942248817902953,45.27428249529064,23.862101768231057,9.831789492562589,52.076410888636815,255.62875,100,98,0,12,7,16.3,610.7,671.16,598.2774468126361,663.7488622762929,257.6,253.95,231.18435646699143,226.32023402730636,,
2025-10-10 13:30:00+00:00,254.31121332413252,250.00982194509584,239.1922190544961,222.17603112500015,5.642125857578144,55.20513535305345,-0.8472560794339691,5.628905199966937,6.580742960593876,-0.9518377606269396,42.08689376365952,20.122214314615118,19.861981076390244,57.50732985841377,250.1758333333333,24,4,-8,0,20,16.43,589.5,653.02,597.4794971023964,662.7735111602663,257.6,253.95,231.18435646699143,226.32023402730636,,
